participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.participation_fee,session.config.name,trust.1.player.id_in_group,trust.1.player.role,trust.1.player.payoff,trust.1.group.id_in_subsession,trust.1.group.sent_amount,trust.1.group.sent_back_amount,trust.1.subsession.round_number
1,eus58rlr,,0,7,6,trust,Results,2023-11-19 14:22:30.260074,1,,,15000.0,yrifonp2,,,,,1,1,0.0,my_session2,1,,15000.0,1,1000.0,1500.0,1
2,xlebodmv,,0,7,6,trust,Results,2023-11-19 14:22:30.264073,1,,,15000.0,yrifonp2,,,,,1,1,0.0,my_session2,2,,15000.0,1,1000.0,1500.0,1
